operator,format,index_dtype,value_dtype,op,route,status
spsm,CSR,int32,float32,non,triton,SUPPORTED
spsm,CSR,int32,float64,non,triton,SUPPORTED
spsm,CSR,int64,float32,non,triton,SUPPORTED
spsm,CSR,int64,float64,non,triton,SUPPORTED
spsv,COO,int32,bfloat16,non,triton,SUPPORTED
spsv,COO,int32,bfloat16,trans,triton,SUPPORTED
spsv,COO,int32,float32,non,triton,SUPPORTED
spsv,COO,int32,float32,trans,triton,SUPPORTED
spsv,COO,int32,float64,non,triton,SUPPORTED
spsv,COO,int32,float64,trans,triton,SUPPORTED
spsv,COO,int32,complex32,non,triton,SUPPORTED
spsv,COO,int32,complex32,trans,triton,SUPPORTED
spsv,COO,int32,complex64,non,triton,SUPPORTED
spsv,COO,int32,complex64,trans,triton,SUPPORTED
spsv,COO,int64,bfloat16,non,triton,SUPPORTED
spsv,COO,int64,bfloat16,trans,triton,SUPPORTED
spsv,COO,int64,float32,non,triton,SUPPORTED
spsv,COO,int64,float32,trans,triton,SUPPORTED
spsv,COO,int64,float64,non,triton,SUPPORTED
spsv,COO,int64,float64,trans,triton,SUPPORTED
spsv,COO,int64,complex32,non,triton,SUPPORTED
spsv,COO,int64,complex32,trans,triton,SUPPORTED
spsv,COO,int64,complex64,non,triton,SUPPORTED
spsv,COO,int64,complex64,trans,triton,SUPPORTED
spsv,CSR,int32,bfloat16,non,triton,SUPPORTED
spsv,CSR,int32,bfloat16,trans,triton,SUPPORTED
spsv,CSR,int32,float32,non,triton,SUPPORTED
spsv,CSR,int32,float32,trans,triton,SUPPORTED
spsv,CSR,int32,float64,non,triton,SUPPORTED
spsv,CSR,int32,float64,trans,triton,SUPPORTED
spsv,CSR,int32,complex32,non,triton,SUPPORTED
spsv,CSR,int32,complex32,trans,triton,SUPPORTED
spsv,CSR,int32,complex64,non,triton,SUPPORTED
spsv,CSR,int32,complex64,trans,triton,SUPPORTED
spsv,CSR,int64,bfloat16,non,triton,SUPPORTED
spsv,CSR,int64,bfloat16,trans,triton,SUPPORTED
spsv,CSR,int64,float32,non,triton,SUPPORTED
spsv,CSR,int64,float32,trans,triton,SUPPORTED
spsv,CSR,int64,float64,non,triton,SUPPORTED
spsv,CSR,int64,float64,trans,triton,SUPPORTED
spsv,CSR,int64,complex32,non,triton,SUPPORTED
spsv,CSR,int64,complex32,trans,triton,SUPPORTED
spsv,CSR,int64,complex64,non,triton,SUPPORTED
spsv,CSR,int64,complex64,trans,triton,SUPPORTED
